案件編號,標題,地址,房型,坡數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20506969,象山公園松智路北醫旁公寓2樓3房2衛全新裝潢,信義區松仁路,3房,25.75,2F/4F,39800,,象山站 551公尺,仲介:陳柏任Paul,591_20506969.png,7,"25°1'41""N 121°34'6""E",2026-01-21,2604
20507009,信義國中旁公寓2樓全新裝潢3房2衛近101,信義區松仁路,3房,25.75,2F/4F,39800,,象山站 551公尺,仲介:陳柏任Paul,591_20507009.png,7,"25°1'41""N 121°34'6""E",2026-01-21,2604
20368803,〔住商小方團隊〕松仁路靜巷雅寓,信義區松仁路202巷2弄9號,3房,30.46,2F/4F,36000,,信義松仁路口(信義)站 566公尺,仲介:方先生,591_20368803.png,7,"25°1'41""N 121°34'4""E",2026-01-21,2604
20347726,北醫旁吳興靜巷整層公寓【圓璽不動產】~怡臻,信義區吳興街284巷,3房,26.744,5F/5F,30000,,松山寺站 82公尺,仲介:潘小姐,591_20347726.png,7,"25°1'27""N 121°33'46""E",2026-01-21,2604
20376898,短租首選生活機能佳近世貿101兩房一廳,信義區光復南路415巷226號,2房,20,,58000,,台北101/世貿站 437公尺,屋主:程小姐,591_20376898.png,7,"25°2'10""N 121°33'36""E",2026-01-21,2604
20391012,全新整理裝潢離101捷運5分鐘一房一廳,信義區吳興街26號,1房,13,2F/4F,22000,,,屋主:呂先生,591_20391012.png,7,"0°0'0""N 0°0'0""E",2026-01-21,2604
20488664,公寓2+1房1平面車位,信義區永吉路120巷,3房,20.25,4F/5F,27000,,市政府站 487公尺,代理人:林小姐,591_20488664.png,7,"25°2'39""N 121°34'13""E",2026-01-21,2604
20441576,自租公寓松信路100號4樓,信義區松信路100號,1房,16,4F/4F,22000,,永吉松信路口站 21公尺,屋主:任先生,591_20441576.png,7,"25°2'40""N 121°34'19""E",2026-01-21,2604
20367868,象山/北醫商圈，店面工作室/適輕食，新冷氣/可裝潢,信義區吳興街583巷,1房,10.23,1F/3F,17999,,吳興街站 116公尺,仲介:江小姐,591_20367868.png,7,"25°1'20""N 121°34'10""E",2026-01-21,2604
19021201,信義永春站黃金樓層美寓,信義區松山路465巷,5房,27,2F/4F,52000,,永春站 259公尺,仲介:溫先生,591_19021201.png,7,"25°2'23""N 121°34'43""E",2026-01-21,2604
20404652,★近北醫★信義區★免爬高★可開伙★採光佳★雙陽台,信義區吳興街284巷,3房,27.9,2F/4F,27000,,黎雙公園站 83公尺,屋主:黃小姐,591_20404652.png,7,"25°1'26""N 121°33'41""E",2026-01-21,2604
